hex_id,Year,tornado_count
1566,1956,1
1566,1994,1
1567,1946,1
1567,1952,1
1567,1958,1
1567,1985,1
1567,1991,1
1567,2000,1
1567,2013,4
1567,2016,1
1567,2019,1
1568,2011,1
1568,2013,1
1569,1970,1
1569,1978,1
1569,1994,2
1570,1993,1
1572,1958,1
1572,1973,1
1572,1987,2
1572,1990,1
1572,1996,1
1572,2004,1
1572,2012,1
1585,2013,1
1594,1906,1
1595,1910,1
1598,1911,1
1598,1913,1
1598,1994,1
1599,2013,1
1600,1938,2
1600,1939,1
1600,1964,1
1600,2005,1
1601,1908,1
1601,1972,1
1601,2015,1
1603,1960,1
1603,1971,1
1606,1958,1
1606,2009,1
1607,1991,1
1607,1992,2
1607,2001,1
1608,1966,1
1608,1971,1
1608,2002,1
1608,2012,2
1624,2013,1
1629,1936,1
1633,1932,1
1634,1902,4
1634,1903,1
1634,1913,2
1634,1934,1
1634,1991,1
1634,2016,1
1635,1903,1
1635,1912,1
1635,1926,1
1635,1933,1
1635,1950,1
1635,1960,1
1635,1964,1
1635,2003,1
1636,1900,1
1636,1963,1
1636,1995,1
1637,2002,1
1638,1997,1
1642,1986,1
1642,2009,1
1656,2010,1
1656,2012,1
1657,1997,1
1664,1934,1
1665,1910,1
1665,1913,1
1665,1914,1
1665,1929,1
1665,1987,1
1665,1988,1
1665,2003,1
1665,2015,1
1667,1954,1
1667,1983,1
1667,1986,1
1667,1992,2
1667,1996,3
1667,2015,1
1667,2017,1
1668,1911,1
1668,1918,1
1668,1941,1
1668,1944,1
1668,2005,1
1669,1913,1
1669,1953,1
1669,1972,1
1670,1986,1
1670,1990,1
1670,1992,1
1670,1995,1
1670,2010,1
1671,1966,1
1671,2005,1
1671,2013,1
1672,1942,1
1672,2011,1
1673,1935,1
1673,1997,1
1673,2009,1
1695,2013,1
1698,2004,2
1699,1999,1
1700,1900,1
1700,1910,1
1700,1995,1
1700,2002,1
1700,2005,1
1701,1902,1
1701,1921,1
1702,1903,1
1702,1985,1
1702,1990,1
1702,1992,1
1702,2015,1
1703,2013,2
1704,1908,1
1704,1931,1
1704,1983,1
1704,1990,1
1705,1910,1
1705,1931,1
1705,1983,1
1705,2004,1
1706,2002,1
1706,2016,1
1707,2008,1
1708,1995,1
1728,1995,1
1728,1997,1
1728,2000,1
1729,1945,1
1729,1998,1
1729,2001,1
1730,2005,1
1732,2004,1
1734,1916,1
1735,1901,1
1735,1905,1
1735,1934,1
1735,1947,1
1735,1989,1
1736,1930,1
1736,1932,1
1736,1949,1
1736,1950,1
1736,1963,1
1736,1987,2
1736,1990,1
1736,1992,2
1736,1993,1
1736,2011,1
1736,2014,1
1736,2018,1
1736,2019,1
1737,1913,1
1737,1932,1
1737,1982,1
1737,1993,1
1737,1994,1
1737,1998,1
1737,2018,1
1738,2016,1
1739,1903,1
1739,1908,1
1739,1913,1
1739,1914,2
1739,1944,1
1739,1945,1
1739,1951,2
1739,1954,1
1739,1955,1
1739,1956,1
1739,1957,3
1739,1959,4
1739,1962,1
1739,1963,1
1739,1964,1
1739,1965,1
1739,1969,1
1739,1971,1
1739,1983,1
1739,1984,1
1739,1986,1
1739,1988,1
1739,2000,1
1739,2001,1
1739,2016,1
1739,2019,1
1740,1953,1
1740,1959,1
1740,1972,1
1740,1973,2
1740,2002,1
1740,2013,2
1740,2014,1
1741,1988,1
1765,2003,1
1765,2017,1
1766,1978,1
1768,1914,1
1768,1976,1
1768,1979,1
1768,1995,1
1768,1996,1
1768,2007,1
1768,2015,1
1769,1937,1
1769,1970,1
1769,2003,2
1769,2013,1
1770,1987,1
1770,1989,2
1770,2005,1
1770,2007,1
1771,1906,1
1771,1931,1
1771,1954,1
1771,1972,1
1771,1992,1
1771,2005,1
1771,2006,2
1771,2010,1
1771,2012,1
1771,2013,4
1772,1955,1
1772,1993,1
1772,2002,1
1773,1916,1
1773,1923,1
1773,1935,1
1773,1943,2
1773,1944,1
1773,2003,1
1774,1906,1
1774,1907,1
1774,1923,1
1774,1928,1
1774,1930,1
1774,1937,2
1774,1940,1
1774,1941,2
1774,1942,1
1774,1944,3
1774,1945,1
1774,1946,1
1774,1948,1
1774,1949,2
1774,1950,1
1774,1951,3
1774,1952,2
1774,1953,2
1774,1954,1
1774,1955,1
1774,1956,2
1774,1957,5
1774,1958,2
1774,1959,4
1774,1961,3
1774,1962,1
1774,1963,1
1774,1964,3
1774,1965,1
1774,1966,5
1774,1967,1
1774,1968,2
1774,1969,1
1774,1971,1
1774,1972,1
1774,1973,3
1774,1974,1
1774,1978,2
1774,1984,2
1774,1985,1
1774,1988,1
1774,1989,1
1774,1994,1
1774,2003,2
1774,2012,1
1774,2013,1
1775,1932,1
1775,1957,1
1775,2001,1
1800,1914,1
1800,1972,1
1800,1992,1
1800,2000,1
1800,2006,1
1800,2013,5
1800,2014,1
1800,2017,1
1801,1932,1
1801,1981,1
1801,2003,2
1801,2011,1
1801,2016,1
1802,2004,1
1803,1910,1
1803,1954,1
1803,1957,1
1803,1968,1
1803,1971,1
1803,1996,1
1803,2001,1
1803,2006,1
1803,2007,1
1803,2008,1
1803,2009,1
1803,2017,1
1804,2005,1
1805,1903,1
1805,1904,1
1806,1900,1
1806,2002,1
1807,1918,1
1807,1924,1
1807,1959,1
1807,2017,1
1808,1970,1
1808,1990,1
1836,1992,1
1836,2013,1
1837,1936,1
1837,1971,1
1837,1981,1
1837,1983,1
1837,1999,1
1837,2015,1
1837,2016,2
1837,2017,1
1838,1934,1
1838,1935,1
1838,1936,1
1838,1955,1
1838,1956,1
1838,1962,1
1838,1973,1
1838,1977,1
1838,1980,3
1838,1985,1
1838,1986,1
1838,1989,1
1838,1999,1
1838,2003,1
1838,2004,3
1838,2005,1
1838,2017,1
1839,1904,1
1839,1929,1
1839,1940,1
1839,1952,1
1839,1958,1
1839,1962,2
1839,1963,1
1839,1978,1
1839,1983,1
1839,2000,2
1839,2003,1
1839,2004,1
1839,2007,3
1839,2017,1
1840,1912,1
1840,1914,1
1840,1945,2
1840,2011,1
1840,2016,1
1840,2017,1
1841,1938,1
1841,1948,1
1841,1957,1
1842,1926,1
